Item,$AQ_​INDEX,$ROCK_​COMP,$POVOMULT,$PERM_​2,$PERM_​1,$KRWMAX,PWS1,PWS2,PWS3,PWS4,PWS5,OIL_CUM,WATER_CUM,WC1,WC2,PWFEND
BU_MACH5_202,0.388880056,9.38E-06,0.809289541,0.040798459,0.184445871,0.591192877,1372.670532,589.7299805,646.6880493,1235.741333,9.46E+02,1953384,4.63E+06,1.25E-05,0.902765095,679.6876831
BU_MACH5_203,0.382619709,2.12E-06,0.692272677,0.058864116,0.166391472,0.46241438,1045.052979,122.380249,156.620163,807.6237793,1.67E+03,1940857,3961063.5,0.167285159,0.892645538,1607.575562
BU_MACH5_204,0.362140959,4.91E-06,0.936073879,0.057460189,0.16661803,0.630727103,1281.411133,346.1408081,394.6533203,1047.107056,1.26E+03,1953384,4.23E+06,9.80E-06,0.897771358,1201.975098
BU_MACH5_205,0.53951854,1.34E-06,0.785434089,0.053644788,0.186273788,0.557360729,1271.140381,191.4800873,385.0036011,956.3598022,1.05E+03,1938540,5015599.5,0.417287678,0.904139638,752.8103027
BU_MACH5_206,0.60987684,9.71E-06,0.35421579,0.054576644,0.179503713,0.676734214,1391.334717,488.9549866,672.7106323,1142.482544,9.03E+02,1953384,5156325.5,0.315994263,0.90760535,671.7210083
BU_MACH5_207,0.445183923,3.76E-06,0.74602262,0.054091886,0.14139172,0.653321299,1254.407104,209.0511932,344.7228699,926.2313232,1.21E+03,1952538.75,4495783,0.268606424,0.899480462,1091.314697
BU_MACH5_208,0.503350053,3.93E-06,0.554929606,0.041570437,0.155386191,0.631345256,1263.518799,196.3880768,388.8865967,1020.447754,7.94E+02,1920553.25,5190835,0.358240008,0.908325851,416.358551
BU_MACH5_209,0.372488736,6.25E-06,0.69467579,0.048531741,0.164791831,0.563694571,1262.853027,327.5939941,383.3683777,1068.258423,1.22E+03,1953384,4.30E+06,1.05E-05,0.898468673,1077.167847
BU_MACH5_210,0.595263747,8.36E-06,0.805486618,0.040107611,0.159134074,0.513552507,1456.020142,739.0186157,858.2091675,1359.465088,1.32E+03,1953384,4.48E+06,9.01E-06,0.899873197,973.0264893
BU_MACH5_211,0.481858724,3.00E-06,0.242354527,0.066788726,0.176750737,0.607252815,1081.560425,111.1575699,205.4582825,680.3818359,1.19E+03,1918409.625,4752475,0.456162423,0.899915934,1068.782959
BU_MACH5_212,0.692034669,4.61E-06,0.566905728,0.069255009,0.150667712,0.650854335,1414.921875,385.787384,683.2557373,1072.793457,1.40E+03,1953383.875,4528583.5,0.420729637,0.896704555,1307.772461
BU_MACH5_213,0.301060726,7.08E-06,0.730821253,0.069579885,0.179144602,0.674867702,1273.481079,333.3126221,333.444397,923.6134033,1.31E+03,1953384,4.03E+06,1.33E-05,0.895617962,1363.186279
BU_MACH5_214,0.67341081,9.87E-06,0.723863948,0.060576303,0.148504653,0.662098117,1514.462158,824.9812012,946.7288818,1350.360962,1.47E+03,1953384,4293283,0.192576796,0.896817923,1329.99353
BU_MACH5_215,0.355006561,4.84E-06,0.736075076,0.052627273,0.187289801,0.472922819,1203.9823,230.4763031,275.0728149,1023.306274,1.44E+03,1953147.625,4.07E+06,7.95E-06,0.895838499,1299.515869
